,Test Case Template for Project,,,,,,,,,,
,Project Name,Green Campus Helper,,,,,,,,,
,Module Name,Log a green activity,,,,,,,,,
,Created By ,Shristi,,,,,,,,,
,Created Date,03/09/2026,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Scenario ID, Scenario Desciption,Test Case ID,Test case data,Test case description,Pre Condition,Steps to Execute,Expected Result,Actual Result,Status,Comments,Priority
S1,Logging the number of activities with a valid input,T01,No. of activities to log: 2,"Verifying whether the system accepts valid user input for the number of activities to log and 
navigates to the corresponding page.",Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Enter the number of activities to log.",The system must accept the input and navigate to the next page.,The system accepts the input and navigates to choosing an activity.,Passed,N/A,P0
S2,Choosing the activity to log with a valid input,T02,"Choose type(1-8) : 5
Choose type (1-8): 2","Verifying whether the system accepts valid user input for activities to log and 
navigates to the corresponding page.",Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Choose the activities to log.","The system must accept the input and let the user choose
 the activity they want to log. ","The system accepts the input and lets the user choose
 the activity they want to log. ",Passed,N/A,P1
S3,Logging the number of activities and choosing the activities to log with an invalid input,T03,No. of activities to log: e,Verifying whether the system accepts valid user input for the number of activities to log.,Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Enter the number of activities to log.",The system must not accept the input and reply with an error message.,"The system does not accept the input and replies with : 
"" Invalid input — please enter a number.""",Passed,N/A,P1
,,T04,"Choose type(1-8) : 5
Choose type (1-8): h",Verifying whether the system accepts invalid user input for the activities to log.,Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Choose activities to log.",The system must not accept the input and reply with an error message.,"The system does not accept the input and replies with : 
"" Invalid input — enter a number between 1 and 8.""",Passed,N/A,P1
S4,Logging the number of activities and choosing the activities to log with a blank input,T05,No. of activities to log: ,Verifying whether the system accepts blank user input for the number of activities to log.,Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Enter the number of activities to log.",The system must not accept the input and reply with an error message.,"The system does not accept the blank input and replies with : 
"" Invalid input — please enter a number.""",Passed,N/A,P1
,,T06,"Choose type(1-8) : 5
Choose type (1-8): ",Verifying whether the system accepts blank user input for the activities to log.,Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Choose activities to log.",The system must not accept the input and reply with an error message.,"The system does not accept the input and replies with : 
"" Invalid input — enter a number between 1 and 8.""",Passed,N/A,P1
S5,Logging the activity with a valid date input.,T07,Date (dd/mm/yyyy): 03/09/2026,Verifying if the system accepts a valid date input during activity logging. ,Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Enter date.",The system must accept the input and move forward towards the next step.,"The system accepts the valid date input and replies with an activity 
logged message, showing the activity points earned. ",Passed,N/A,P1
S6,Logging the activity with an invalid date input.,T08,Date (dd/mm/yyyy): 90/09/2027,Verifying if the system accepts a date with an invalid day input during activity logging. ,Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Enter a date with an invalid day input.","The system must not accept the input and reply with an error message: 
",The system accepts the invalid date input.,Failed,"The system should not accept invalid day input; the day input 
must not be greater than 31.",P2
,,T09,Date (dd/mm/yyyy): 03/67/2028,Verifying if the system accepts a date with an invalid month input during activity logging. ,Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Enter a date with an invalid month input.","The system must not accept the input and reply with an error message: 
",The system accepts the invalid date input.,Failed,"The system should not accept invalid month input; the month input 
must not be greater than 12.",P2
,,T10,Date (dd/mm/yyyy): 03/09/206778,Verifying if the system accepts a date with an invalid year input during activity logging. ,Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Enter a date with an invalid day input.","The system must not accept the input and reply with an error message: 
",The system accepts the invalid date input.,Failed,"The system should not accept invalid year input; the year input 
must not exceed the current year.",P2
,,T11,Date (dd/mm/yyyy): 90/67/206778,"Verifying if the system accepts a date with an invalid year, month and day input during activity logging. ",Green Campus Helper must be loaded into the console.,"1. Navigate to Green Campus Helper.
2. Enter a date with an invalid year, day, and month input.","The system must not accept the input and reply with an error message: 
",The system accepts the invalid date input.,Failed,The system must have a valid date input restriction.,P2
